Contractor,Company,RoofSize,RoofType,City,State,Date
Dana Solis,Gutierrez Ltd,19999,Foam,Lynnfurt,LA,2023-10-16
Jennifer Smith,Collins-Hunter,32383,Metal,East Brianburgh,MN,2023-07-08
Richard Stephens,Cook-Vance,21991,Metal,Paulatown,NH,2024-09-30
Julie Newman,Suarez-Davis,28318,TPO,Juanton,MH,2024-03-26
Shawn Moreno,Crane Group,44964,Asphalt,Rasmussenfurt,VA,2025-01-25
Austin Mcguire,Cross-Clay,43132,Asphalt,North Annaburgh,VI,2025-03-20
Miss Lisa Hudson DVM,Moon-Stevenson,48408,Asphalt,Perezside,PA,2023-11-04
Tammy Marshall,"Hickman, Smith and Paul",14169,Foam,Lake Jamesport,CA,2023-08-01
Cody Johnson,"Anderson, Wood and Gilbert",15801,TPO,Joshuaberg,CA,2024-10-12
Daniel Gutierrez MD,"Mora, Johnston and Brown",37640,Asphalt,Gravesland,AZ,2024-01-09
Daniel Bennett,Jackson-Blake,38517,Foam,Thomasville,TX,2024-01-26
Julie Cruz,Villarreal-Gonzalez,2952,Metal,East Brandonfort,DE,2024-03-07
Michael Mayer,"Estrada, Martin and Suarez",10164,Metal,Kennethmouth,GA,2023-05-01
Melissa Crawford,"Johnson, Moore and Martin",19056,Metal,New Drew,MA,2023-12-14
Roy Gomez,"Brown, Hall and Kelly",40581,Asphalt,Dillonborough,NC,2025-01-11
Emily Green,"Fisher, Hutchinson and Curry",29572,Metal,Richardsonstad,WA,2024-09-16
Troy Robertson,Shaw-Edwards,42762,TPO,East David,PA,2023-06-13
Donna Taylor,Jenkins LLC,15202,Asphalt,Christinaview,NV,2024-10-28
Lori Randolph,"Walker, Campbell and Smith",48763,TPO,West Jacob,AS,2024-03-10
Terri Sanchez,Singleton Ltd,1972,Foam,Autumnberg,VI,2024-05-29
Sharon Gray,"Meza, Ellison and Gonzales",2145,TPO,North Adrian,AL,2024-12-23
Michele Perry,"Duffy, Black and Gonzalez",36964,Metal,Gilberttown,AR,2024-08-29
Michelle Brewer,Garcia-Townsend,6392,TPO,Lake Jennifer,NJ,2023-11-02
Alicia Wallace,Conner Ltd,48069,TPO,East James,ID,2023-05-27
Vanessa Rodriguez,Anderson and Sons,12241,TPO,Port Louismouth,AZ,2025-02-27
Nathaniel Singh,Mitchell-Cruz,28761,Foam,North Christopher,AL,2025-03-22
Troy Lloyd,Hernandez-Brown,38101,Asphalt,Port Kristen,WV,2024-05-29
Alyssa Martin,"Everett, Foley and Clark",33496,Asphalt,Fletcherfurt,RI,2024-07-30
Adam Nguyen,Ellis Inc,13544,Metal,Allenshire,VI,2023-10-18
Garrett Martinez,"Paul, Gonzalez and Jackson",39105,Foam,Samanthaview,MI,2024-05-01
John Sharp,"Baker, Green and Conley",28407,Foam,Mcintyreberg,AZ,2024-10-25
Mr. Mark Morris,Silva-Kim,12262,Foam,Lake Marvin,MH,2024-01-15
