Contractor,Company,RoofSize,RoofType,City,State,Date,lat,lng
Dana Solis,Gutierrez Ltd,19999,Foam,Lynnfurt,LA,2023-10-16,43.76632,-86.189653
Jennifer Smith,Collins-Hunter,32383,Metal,East Brianburgh,MN,2023-07-08,40.580236,-108.096884
Richard Stephens,Cook-Vance,21991,Metal,Paulatown,NH,2024-09-30,26.412373,-67.334198
Julie Newman,Suarez-Davis,28318,TPO,Juanton,MH,2024-03-26,37.229678,-102.38452
Shawn Moreno,Crane Group,44964,Asphalt,Rasmussenfurt,VA,2025-01-25,38.544825,-70.104869
Austin Mcguire,Cross-Clay,43132,Asphalt,North Annaburgh,VI,2025-03-20,42.604935,-120.964756
Miss Lisa Hudson DVM,Moon-Stevenson,48408,Asphalt,Perezside,PA,2023-11-04,47.6771,-103.978085
Tammy Marshall,"Hickman, Smith and Paul",14169,Foam,Lake Jamesport,CA,2023-08-01,45.645879,-81.089517
Cody Johnson,"Anderson, Wood and Gilbert",15801,TPO,Joshuaberg,CA,2024-10-12,48.635539,-69.430665
Daniel Gutierrez MD,"Mora, Johnston and Brown",37640,Asphalt,Gravesland,AZ,2024-01-09,46.849371,-116.490109
Daniel Bennett,Jackson-Blake,38517,Foam,Thomasville,TX,2024-01-26,31.298158,-121.408463
Julie Cruz,Villarreal-Gonzalez,2952,Metal,East Brandonfort,DE,2024-03-07,29.324029,-112.765463
Michael Mayer,"Estrada, Martin and Suarez",10164,Metal,Kennethmouth,GA,2023-05-01,42.159805,-69.126019
Melissa Crawford,"Johnson, Moore and Martin",19056,Metal,New Drew,MA,2023-12-14,39.309686,-95.430957
Roy Gomez,"Brown, Hall and Kelly",40581,Asphalt,Dillonborough,NC,2025-01-11,39.118672,-70.299119
Emily Green,"Fisher, Hutchinson and Curry",29572,Metal,Richardsonstad,WA,2024-09-16,35.466126,-106.752274
Troy Robertson,Shaw-Edwards,42762,TPO,East David,PA,2023-06-13,31.517253,-72.423201
Donna Taylor,Jenkins LLC,15202,Asphalt,Christinaview,NV,2024-10-28,44.341067,-82.991169
Lori Randolph,"Walker, Campbell and Smith",48763,TPO,West Jacob,AS,2024-03-10,34.49269,-112.243146
Terri Sanchez,Singleton Ltd,1972,Foam,Autumnberg,VI,2024-05-29,36.96902,-82.00074
Sharon Gray,"Meza, Ellison and Gonzales",2145,TPO,North Adrian,AL,2024-12-23,31.392134,-120.481549
Michele Perry,"Duffy, Black and Gonzalez",36964,Metal,Gilberttown,AR,2024-08-29,34.952777,-68.771519
Michelle Brewer,Garcia-Townsend,6392,TPO,Lake Jennifer,NJ,2023-11-02,43.726035,-113.903555
Alicia Wallace,Conner Ltd,48069,TPO,East James,ID,2023-05-27,35.248518,-78.219181
Vanessa Rodriguez,Anderson and Sons,12241,TPO,Port Louismouth,AZ,2025-02-27,35.598337,-113.864841
Nathaniel Singh,Mitchell-Cruz,28761,Foam,North Christopher,AL,2025-03-22,26.409976,-74.549189
Troy Lloyd,Hernandez-Brown,38101,Asphalt,Port Kristen,WV,2024-05-29,29.229829,-86.556594
Alyssa Martin,"Everett, Foley and Clark",33496,Asphalt,Fletcherfurt,RI,2024-07-30,44.755224,-87.222146
Adam Nguyen,Ellis Inc,13544,Metal,Allenshire,VI,2023-10-18,34.292565,-102.455626
Garrett Martinez,"Paul, Gonzalez and Jackson",39105,Foam,Samanthaview,MI,2024-05-01,45.591566,-116.672917
John Sharp,"Baker, Green and Conley",28407,Foam,Mcintyreberg,AZ,2024-10-25,35.295636,-81.796356
Mr. Mark Morris,Silva-Kim,12262,Foam,Lake Marvin,MH,2024-01-15,36.752797,-95.50564
Steven Collier,Baker-Silva,29836,TPO,Hallville,VI,2024-02-29,38.998491,-84.694444
Laura Kim,Johns-Turner,2318,TPO,Lewiston,CO,2025-04-09,38.251797,-72.063985
Jennifer Romero,Moore-Mendez,35617,TPO,South Jacquelinehaven,PW,2025-03-15,30.032955,-115.892636
Matthew Obrien,Harris-Bradshaw,29914,Metal,Thomasside,AS,2025-01-18,34.511178,-103.919423
Joseph Parker,"Ortiz, Mack and Castillo",1324,Asphalt,West Phyllis,OR,2025-02-12,44.06241,-104.318026
Anthony Cooper,Garner-Phelps,25828,TPO,Pamelaton,VT,2025-02-18,40.306031,-110.058561
Mark Holmes,Jimenez and Sons,26254,Foam,Maryhaven,MD,2023-06-27,46.072762,-111.907803
Jordan Nguyen,"Perez, Daniels and Brown",32105,Asphalt,South Elizabethtown,DE,2023-08-15,33.507332,-78.907179
Kevin Garner,Alvarez Inc,7831,Foam,Port Conniemouth,MN,2024-01-30,39.246523,-82.426753
Derek Miller,"Mendoza, Sanders and Wilkins",39786,Asphalt,Donaldland,SC,2023-07-05,31.337096,-120.606188
Timothy Miles,Ortega LLC,37721,Asphalt,North James,MH,2024-10-12,30.784916,-106.132908
Christopher Herring,King-Hernandez,16744,Metal,Hooverfort,PA,2024-07-28,48.731399,-117.203139
William Barrett,Johnson-Hayes,44963,Foam,Port Jonathan,GA,2025-03-23,46.591564,-67.145993
Edward Ibarra,Walker LLC,21801,Metal,Timothyport,IA,2024-03-24,29.199447,-112.348806
Nicole Taylor,Moore Inc,29716,TPO,Samanthaport,OK,2024-10-22,28.199289,-74.032771
Tracie Moore,Young-Pham,14380,TPO,East Charlenefurt,PW,2024-01-17,38.64835,-119.46726
Jennifer Taylor,"Ellis, Joyce and Fuller",42404,Metal,West Amytown,ID,2023-06-08,32.896178,-118.707276
Andrew Contreras,"Murphy, Morgan and Moses",47063,Metal,Anthonyberg,DE,2024-09-03,26.306871,-117.164432
Jennifer Bennett,"Estrada, Hernandez and Davis",37567,TPO,Lake Tracychester,DE,2024-04-29,30.240358,-96.987419
Kimberly Miller,"Lara, Moody and Hall",10015,Foam,West Lori,FM,2024-02-10,32.692111,-71.687774
Sarah Harvey,"Hernandez, Banks and Stone",33879,Foam,New Darleneville,SC,2025-02-12,43.473322,-82.59261
Zachary Williams,Rogers Inc,49961,Asphalt,Dennisview,VA,2023-06-28,31.111019,-105.160969
Kathleen Good,"Brennan, Fields and Rich",37418,Foam,West Paul,RI,2023-08-04,27.282032,-68.914749
Joseph Lee,Bowen-Castillo,23176,Metal,North Thomas,CO,2024-02-15,29.558069,-72.929095
Mary Allen,"Allen, Collins and Kelly",12731,TPO,Knightland,MN,2023-05-09,39.960332,-121.992494
Douglas Green,"Sloan, Garcia and Zamora",18771,Metal,Zacharyton,ID,2023-09-25,33.612696,-112.836213
Charles Thomas,Sanchez Inc,5111,Asphalt,Andersontown,ME,2025-03-16,35.245849,-105.177318
Micheal Harris,Brown PLC,18954,Foam,West Marktown,ID,2024-05-28,41.178378,-106.125955
Kelly Ramirez,"Green, Bernard and Fuller",24624,Asphalt,Jessebury,TN,2025-03-21,46.402596,-116.945818
John Fisher,Mann Ltd,42122,Foam,Dennisland,TN,2023-12-03,38.983411,-81.151273
Eric Lopez,Burns LLC,44526,Foam,East Robertville,WY,2024-12-21,40.195729,-97.057597
Marcus Kramer,Simmons Ltd,40288,Metal,Taraview,IL,2024-08-01,41.267318,-77.375383
Janet Mack,Wiley and Sons,37333,Foam,Johnsonport,AZ,2024-03-03,38.218823,-114.645917
Joshua Morgan,Vang LLC,13337,TPO,West Bobbyborough,NJ,2023-09-18,41.61161,-108.961666
Daniel Dennis,Pope Ltd,9902,TPO,Port Daniel,OH,2025-01-15,30.170238,-114.896954
John Holmes,Wright-Hernandez,46514,Metal,North Sarah,AR,2023-04-21,31.538446,-99.894157
Christopher Richardson,Moore LLC,1410,TPO,West Holly,AL,2024-02-07,44.560588,-120.134179
Juan Robinson,Snyder Group,38944,TPO,Port Marie,IN,2024-10-04,30.404433,-90.364619
Maria Rogers,Wells-Sheppard,27457,Asphalt,Julieside,OR,2023-10-08,46.243012,-119.778153
Mark Allen,Weaver-Randall,13431,Metal,East Mauricebury,LA,2024-06-05,32.657336,-121.384263
Luke Mitchell,York PLC,13503,TPO,Lake Keith,GA,2024-07-08,48.013877,-91.762199
Richard Carpenter,"Andrews, Fox and Yang",9870,Metal,East Robertland,OH,2024-09-13,45.287608,-117.431706
Melissa Hill,"Mayo, Torres and Mcmahon",22953,Metal,West Fred,MS,2023-05-19,36.184779,-110.617012
Eric Ryan,"Fuller, Ramos and Cook",11646,Foam,Kiddbury,WV,2023-06-07,38.15885,-120.131397
Frank Price,Lara-Jones,9247,Asphalt,Clayville,SC,2025-02-11,34.842318,-104.99877
Peter Dunn,Arellano-Chandler,21036,Metal,Calebside,WI,2024-12-28,34.598579,-112.680315
Richard Perez,"David, Jones and Smith",14923,Asphalt,New Angelafurt,NE,2024-11-13,34.020303,-95.494516
Kelli Bond,Peterson and Sons,43401,Asphalt,Frosttown,NC,2024-05-15,37.918102,-88.403516
Jeremy Meyer,Gardner PLC,26744,Asphalt,Lake Thomas,GA,2024-11-22,37.1338,-105.790487
Kiara Reid,Rollins-Coleman,49207,Metal,Saraborough,NH,2024-05-06,43.115116,-110.530286
Carl Lawson PhD,Wells-Morales,47621,TPO,Port Joshua,OK,2023-05-06,31.392494,-116.659234
Mark Taylor,"Smith, Smith and Terry",49254,TPO,Jessicabury,ME,2024-02-06,34.655089,-99.098568
Charles Williams,Smith PLC,48014,Metal,Stephaniebury,FM,2023-04-19,46.859655,-91.092614
Alan Solomon,Henry Inc,35078,Foam,New Kenneth,AK,2024-01-01,43.668754,-73.017823
Timothy Sanchez,"Lopez, Maxwell and Barr",26827,Foam,West Shelby,MS,2025-03-19,41.365988,-69.47875
Robert Mitchell,Caldwell-Padilla,48721,TPO,East Michaelhaven,PW,2023-07-31,40.029056,-111.490834
Christopher Taylor,Jackson-Gonzalez,13351,Metal,South Gabrielstad,PW,2024-10-06,36.914156,-93.658844
Dr. David Robinson,Clay-Bell,48806,Metal,Port Henrytown,AL,2024-05-19,44.316433,-86.936808
Matthew Stuart,Armstrong-Wright,44270,Metal,Keystad,AK,2024-04-07,26.112292,-117.111096
Susan Ward,Wilson Group,24259,Metal,South Kaylaville,NJ,2024-03-02,35.243005,-75.41692
Juan Spencer,Butler Group,40784,Asphalt,Bradleyfurt,OR,2024-05-03,46.161371,-104.83759
Patricia Le,Johnson PLC,28477,TPO,Nancybury,VA,2024-10-28,48.068165,-84.778325
Scott Wilson,Wells LLC,39615,Foam,Leonardmouth,MT,2023-10-11,42.798794,-67.03422
Gregory Foster,Hoffman Ltd,49781,Foam,Port Johnside,DC,2024-10-18,39.832271,-95.185509
Jessica Salinas,Simmons LLC,10626,Foam,Daviston,AZ,2024-11-01,32.38566,-74.585161
David Campos,Lawson-Cole,47484,Metal,Zacharymouth,CT,2025-02-10,45.57491,-68.993581
Kristina Graham,"Jenkins, Moore and Townsend",38086,Foam,West Kevinport,MH,2024-08-03,40.639063,-85.774294
Ms. Marie Mitchell,Michael and Sons,5818,TPO,North Erika,IL,2023-09-02,47.624758,-81.672771
Anthony Walker,Ellis PLC,14314,Asphalt,West Devin,MH,2024-12-02,39.863323,-75.313736
William Henson,Lozano-Hunter,22683,Asphalt,Yanghaven,NE,2023-07-06,37.702455,-71.860745
William Wilson,"Miller, Cole and Sellers",32595,Asphalt,Ritaview,WY,2023-06-27,28.94842,-79.188955
James Diaz,Browning Ltd,19080,Metal,Gregoryview,OK,2024-01-19,28.104466,-105.995221
Anthony Murphy,"Torres, Key and Brown",48024,Asphalt,Mitchellville,NC,2024-12-07,40.879771,-75.511939
Melissa Yoder,Ellison Group,5311,Foam,Jasonstad,MA,2025-01-06,38.263011,-112.057327
Dawn Moore,Hall-Fleming,13145,TPO,North John,AS,2023-10-25,44.0149,-85.561394
Robert Burke,Oliver Inc,29224,Asphalt,New Jamesberg,MD,2023-11-28,48.328552,-85.835323
Rebecca Moore,Pratt-Cummings,17253,TPO,South Deantown,MA,2023-08-09,28.48378,-110.262067
Renee Grimes,Walker-Edwards,29439,Metal,Smithview,AR,2024-04-25,34.97493,-87.522427
Erin Mills,"Turner, Villarreal and Martin",30873,Foam,East Brittanyside,WA,2023-05-03,31.770902,-83.138027
Melissa Williamson,Livingston PLC,32496,Metal,Millerstad,ID,2025-01-17,38.373888,-78.521747
Shawn Collins,Ross-Scott,30682,Foam,Timothyhaven,IL,2024-11-23,28.818986,-90.189635
Joseph Contreras,Jones-Jensen,30262,Metal,Larsenside,PW,2024-10-05,46.458393,-103.056348
Laurie Bell,Evans-Burgess,46430,TPO,East Kimberly,WV,2024-05-04,25.311963,-77.550628
Diane Baker,"Meyer, Ortiz and Hernandez",38756,Asphalt,North Lisahaven,AZ,2024-12-31,25.425219,-106.611042
Thomas Mueller,Johnson and Sons,4775,Foam,Port Jennifer,ME,2023-07-22,31.850949,-93.087239
Karen Hall,"Sullivan, Lopez and Torres",49625,Foam,South Kevinland,GU,2023-07-26,25.564879,-107.933313
Ricardo Murillo,Vincent PLC,38489,Asphalt,Michaelchester,SC,2024-03-01,29.971921,-73.111308
Sarah Baker,"Smith, Robertson and Andersen",45354,Asphalt,Philiphaven,CO,2024-03-25,41.229973,-106.637836
Matthew Franklin,Leonard-Brooks,44163,Asphalt,Lake Emily,MP,2023-10-27,36.346695,-78.840299
Lori Harris,Ross Group,29806,Foam,Rodriguezbury,MP,2024-04-21,34.746964,-91.852405
Jamie Ochoa,"Blair, Kennedy and Walker",6949,Asphalt,Lisatown,IN,2023-08-31,34.209286,-84.142183
